idhogar,rooms,r4m1,r4t1,paredblolad,pisomoscer,pisocemento,cielorazo,epared1,epared3,etecho1,etecho3,eviv1,eviv3,hogar_nin,edjefe,meaneduc,overcrowding,SQBescolari,SQBedjefe,SQBhogar_nin,SQBovercrowding,SQBmeaned,wall_material,floor_material,wall_quality,roof_quality,floor_quality,walls+roof+floor_quality,no_basic_facilities,extra_facilities,v18q-min,estadocivil1-sum,estadocivil1-mean,instlevel1-max,instlevel1-sum,instlevel1-mean,instlevel2-max,instlevel2-sum,instlevel2-mean,instlevel8-max,instlevel8-sum,instlevel8-mean,escolari-min,escolari-max,escolari-sum,escolari-mean,Target
1e84a2ac8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,15.0,0.5,225,225,0,0.25,225.0,4,5,1,1,1,3,2,2,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.0,15,15,15,15.0,4
759df0194,4,0,0,1,1,0,1,0,1,0,1,0,1,0,6.0,6.666666499999999,1.5,36,36,0,2.25,44.444443,0,0,2,2,2,6,1,4,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,8,20,6.666666666666667,4
f2fcf00fd,5,0,0,1,1,0,1,0,0,0,0,0,1,0,8.0,9.5,1.0,64,64,0,1.0,90.25,0,0,1,1,2,4,1,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,8,11,19,9.5,4
cb6bb28dd,5,0,0,0,1,0,1,0,0,0,0,0,1,1,11.0,5.25,1.6666666,121,121,1,2.7777777,27.5625,1,0,1,1,2,4,1,2,0,0,0.0,1,1,0.2,1,2,0.4,0,0,0.0,0,11,21,4.2,4
cbf24a06c,4,0,0,0,0,0,1,1,0,0,0,1,0,1,8.0,7.0,1.5,64,64,1,2.25,49.0,4,5,0,1,0,1,1,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,8,22,7.333333333333333,4
922a1f87a,5,0,0,0,0,0,1,0,0,0,1,0,1,0,0.0,11.0,1.0,81,0,0,1.0,121.0,4,5,1,2,2,5,1,3,1,0,0.0,0,0,0.0,0,0,0.0,1,1,0.5,9,13,22,11.0,4
a57a1f2f4,8,0,0,1,0,0,1,0,1,0,1,0,1,1,0.0,15.5,1.0,225,0,1,1.0,240.25,0,5,2,2,2,6,1,4,1,0,0.0,0,0,0.0,0,0,0.0,1,2,0.6666666666666666,8,16,39,13.0,4
9b084b23d,4,0,0,0,0,0,1,0,0,0,0,0,0,0,17.0,10.0,1.0,289,289,0,1.0,100.0,4,5,1,1,1,3,1,2,0,0,0.0,0,0,0.0,1,1,0.5,1,1,0.5,3,17,20,10.0,4
6ddd55b3e,5,1,1,0,1,0,1,0,0,0,0,0,1,1,11.0,13.5,1.5,121,121,1,2.25,182.25,6,0,1,1,2,4,1,3,1,1,0.3333333333333333,0,0,0.0,1,1,0.3333333333333333,1,1,0.3333333333333333,2,16,29,9.666666666666666,4
652a7ffa0,5,1,1,0,0,1,1,0,0,0,1,0,0,2,11.0,11.0,2.0,121,121,4,4.0,121.0,2,1,1,2,1,4,1,2,0,1,0.25,0,0,0.0,1,1,0.25,0,0,0.0,2,11,32,8.0,2
b9d64d752,5,0,1,1,1,0,1,0,1,0,1,0,1,2,0.0,9.0,1.3333334,49,0,4,1.7777778999999998,81.0,0,0,2,2,2,6,1,2,0,0,0.0,0,0,0.0,1,1,0.25,0,0,0.0,2,11,26,6.5,4
09a26c158,1,0,0,0,0,0,1,0,1,0,1,0,1,0,7.0,7.0,1.0,49,49,0,1.0,49.0,4,5,2,2,2,6,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,7,7,7,7.0,2
e2f9717d3,3,0,0,1,1,0,1,0,1,0,1,0,1,0,0.0,10.0,2.0,196,0,0,4.0,100.0,0,0,2,2,2,6,1,3,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.5,6,14,20,10.0,4
65d20b573,6,0,0,1,1,0,1,0,1,0,1,0,1,0,0.0,13.0,1.0,196,0,0,1.0,169.0,0,0,2,2,2,6,1,5,1,0,0.0,0,0,0.0,0,0,0.0,1,2,0.6666666666666666,11,14,39,13.0,4
d9281c805,6,0,0,0,1,0,1,0,1,0,0,0,0,0,0.0,9.0,0.33333334,81,0,0,0.11111112,81.0,4,0,2,1,1,4,1,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,9,9,9,9.0,2
5f7699c70,3,1,2,1,1,0,1,0,0,0,0,0,0,2,9.0,9.0,2.5,81,81,4,6.25,81.0,0,0,1,1,1,3,1,2,0,1,0.2,1,1,0.2,1,1,0.2,0,0,0.0,0,9,32,6.4,4
a0a822586,6,0,1,1,1,0,1,0,1,0,1,0,1,1,15.0,14.0,2.0,225,225,1,4.0,196.0,0,0,2,2,2,6,1,4,0,1,0.25,1,1,0.25,0,0,0.0,1,2,0.5,0,15,42,10.5,4
b2ceb3e5c,6,0,0,1,1,0,1,0,1,0,1,0,1,1,16.0,16.5,1.0,256,256,1,1.0,272.25,0,0,2,2,2,6,1,4,1,0,0.0,0,0,0.0,0,0,0.0,1,2,0.6666666666666666,10,17,43,14.333333333333334,4
69bfa2895,6,0,1,1,1,0,1,0,1,0,1,0,1,1,0.0,14.0,1.0,196,0,1,1.0,196.0,0,0,2,2,2,6,1,4,0,1,0.3333333333333333,0,0,0.0,1,1,0.3333333333333333,1,2,0.6666666666666666,1,14,29,9.666666666666666,4
bcc196e5a,7,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0,14.333332999999998,0.75,169,0,0,0.5625,205.44444,1,0,2,2,2,6,1,5,1,0,0.0,0,0,0.0,0,0,0.0,1,3,1.0,13,15,43,14.333333333333334,4
fca2c4361,5,0,0,0,1,0,1,0,0,0,0,0,0,0,6.0,9.333333,1.0,36,36,0,1.0,87.11110699999999,1,0,1,1,1,3,1,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,11,28,9.333333333333334,4
2b1a06ddc,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0.0,6.5,1.0,0,0,0,1.0,42.25,4,0,1,1,2,4,1,2,0,0,0.0,1,1,0.5,0,0,0.0,1,1,0.5,0,13,13,6.5,4
caa343c15,4,0,0,1,1,0,1,0,1,0,1,0,1,2,0.0,12.0,1.3333334,225,0,4,1.7777778999999998,144.0,0,0,2,2,2,6,1,2,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.25,8,15,41,10.25,4
0b7ee52ff,4,0,0,0,0,1,1,0,1,0,1,0,0,0,0.0,11.0,0.5,121,0,0,0.25,121.0,4,1,2,2,1,5,1,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,11,11,11,11.0,4
14aeb8605,4,0,1,0,1,0,1,0,0,0,0,0,0,2,0.0,6.0,2.5,16,0,4,6.25,36.0,2,0,1,1,1,3,1,3,0,1,0.2,1,1,0.2,1,1,0.2,0,0,0.0,0,8,24,4.8,4
07a5de1ba,3,0,0,0,1,0,1,0,1,0,1,0,1,2,0.0,8.0,3.0,64,0,4,9.0,64.0,2,0,2,2,2,6,1,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,7,9,24,8.0,4
5e72b4b07,6,0,1,1,1,0,1,0,1,0,1,0,1,1,0.0,14.0,1.0,289,0,1,1.0,196.0,0,0,2,2,2,6,1,4,1,0,0.0,0,0,0.0,1,1,0.3333333333333333,0,0,0.0,3,17,31,10.333333333333334,4
288b0f0fa,4,0,1,0,1,0,1,0,1,0,1,0,1,1,0.0,11.0,1.5,121,0,1,2.25,121.0,2,0,2,2,2,6,1,3,1,0,0.0,0,0,0.0,1,1,0.3333333333333333,0,0,0.0,4,11,26,8.666666666666666,4
ed19e63e8,5,0,0,1,1,0,1,0,1,0,1,0,1,0,0.0,6.0,0.33333334,36,0,0,0.11111112,36.0,0,0,2,2,2,6,1,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,6,6,6.0,4
bb809b379,6,0,0,1,1,0,1,0,1,0,1,0,1,0,4.0,4.0,0.25,16,16,0,0.0625,16.0,0,0,2,2,2,6,1,2,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0.0,4,4,4,4.0,4
f954c1672,5,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0,6.0,0.66666669,16,0,0,0.44444448,36.0,4,0,2,2,2,6,1,2,0,0,0.0,0,0,0.0,1,1,0.5,0,0,0.0,4,8,12,6.0,4
c179fa326,5,0,1,1,1,0,1,0,1,0,1,0,1,2,14.0,11.5,2.0,196,196,4,4.0,132.25,0,0,2,2,2,6,1,3,0,1,0.16666666666666666,1,1,0.16666666666666666,0,0,0.0,1,1,0.16666666666666666,0,14,46,7.666666666666667,4
ac94e73e6,7,0,0,1,1,0,1,0,1,0,0,0,1,1,15.0,13.0,1.0,225,225,1,1.0,169.0,0,0,2,1,2,5,1,3,1,0,0.0,0,0,0.0,0,0,0.0,1,2,0.5,6,15,45,11.25,4
d9e9b591a,5,0,0,0,1,0,1,1,0,1,0,1,0,0,0.0,9.0,1.6666666,0,0,0,2.7777777,81.0,4,0,0,0,0,0,1,2,0,0,0.0,1,1,0.2,0,0,0.0,1,2,0.4,0,14,45,9.0,2
52123171a,7,0,0,1,1,0,1,0,1,0,1,0,1,0,17.0,12.75,1.0,289,289,0,1.0,162.5625,0,0,2,2,2,6,1,4,1,0,0.0,0,0,0.0,0,0,0.0,1,2,0.5,6,17,51,12.75,4
81cfc3f8c,5,0,1,0,0,0,1,0,0,0,1,0,1,2,10.0,9.5,2.0,100,100,4,4.0,90.25,4,5,1,2,2,5,1,3,1,1,0.25,0,0,0.0,1,1,0.25,0,0,0.0,1,10,26,6.5,4
2d9be16e2,6,0,0,1,0,1,1,0,1,0,1,0,1,0,0.0,12.5,0.66666669,196,0,0,0.44444448,156.25,0,1,2,2,2,6,1,4,1,0,0.0,0,0,0.0,0,0,0.0,1,1,0.5,11,14,25,12.5,4
d8df976c0,6,0,2,1,1,0,1,0,0,0,0,0,0,2,0.0,13.5,1.3333334,225,0,4,1.7777778999999998,182.25,0,0,1,1,1,3,1,3,0,2,0.5,1,2,0.5,0,0,0.0,1,1,0.25,0,15,27,6.75,4
51f90290c,5,0,1,1,1,0,1,0,0,0,0,0,1,1,0.0,7.0,0.66666669,49,0,1,0.44444448,49.0,0,0,1,1,2,4,1,2,0,0,0.0,0,0,0.0,1,1,0.5,0,0,0.0,3,7,10,5.0,3
a0dfd005d,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0.0,5.5,2.0,36,0,0,4.0,30.25,0,0,1,2,1,4,2,2,0,0,0.0,0,0,0.0,1,1,0.5,0,0,0.0,5,6,11,5.5,4
63f11d6ea,3,0,0,0,0,0,0,1,0,1,0,1,0,1,0.0,7.777777700000001,5.0,25,0,1,25.0,60.493824,5,4,0,0,0,0,3,2,0,0,0.0,0,0,0.0,1,3,0.3,1,1,0.1,3,13,70,7.0,4
347058ce6,5,2,3,0,1,0,1,0,0,1,0,0,1,3,8.0,9.5,1.6666666,64,64,9,2.7777777,90.25,1,0,1,0,2,3,1,2,0,3,0.6,1,3,0.6,0,0,0.0,0,0,0.0,0,11,19,3.8,1
28ec0c747,7,1,1,0,1,0,1,0,1,0,1,0,1,1,0.0,7.5,1.4,25,0,1,1.9599999,56.25,2,0,2,2,2,6,1,3,1,1,0.14285714285714285,1,1,0.14285714285714285,1,2,0.2857142857142857,1,1,0.14285714285714285,0,12,45,6.428571428571429,4
71bec40bc,3,2,3,0,0,0,0,1,0,1,0,1,0,3,0.0,4.5,3.5,0,0,9,12.25,20.25,3,4,0,0,0,0,3,2,0,3,0.42857142857142855,1,3,0.42857142857142855,1,2,0.2857142857142857,0,0,0.0,0,7,19,2.7142857142857144,2
4b301d9b2,5,0,1,1,1,0,0,0,1,0,1,1,0,2,0.0,10.0,2.0,49,0,4,4.0,100.0,0,0,2,2,0,4,2,2,0,1,0.16666666666666666,1,1,0.16666666666666666,0,0,0.0,0,0,0.0,0,11,46,7.666666666666667,3
b5aab6c5e,5,0,0,0,0,0,0,1,0,0,1,1,0,1,0.0,11.333333,2.0,121,0,1,4.0,128.44444,5,4,0,2,0,2,3,4,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,11,34,8.5,4
a4baf0b14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6.0,6.0,1.0,36,36,0,1.0,36.0,2,1,1,1,1,3,2,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,6,6,6.0,4
f01ee929b,3,0,0,1,0,1,0,0,0,0,1,0,1,1,0.0,6.0,1.0,36,0,1,1.0,36.0,0,1,1,2,2,5,2,3,0,0,0.0,0,0,0.0,1,1,0.5,0,0,0.0,3,6,9,4.5,2
322cefd2f,4,1,4,0,0,0,0,1,0,1,0,1,0,5,5.0,6.25,3.0,25,25,25,9.0,39.0625,3,4,0,0,0,0,3,2,0,4,0.4444444444444444,1,4,0.4444444444444444,1,1,0.1111111111111111,0,0,0.0,0,7,32,3.5555555555555554,2
f1e36c6f8,4,3,3,1,1,0,1,0,1,0,1,0,1,3,0.0,6.0,3.0,36,0,9,9.0,36.0,0,0,2,2,2,6,1,2,0,2,0.5,1,2,0.5,1,1,0.25,0,0,0.0,0,6,10,2.5,2
e2b6ecbba,4,0,2,1,0,1,0,0,0,0,0,1,0,2,0.0,10.0,3.0,100,0,4,9.0,100.0,0,1,1,1,0,2,2,2,0,2,0.6666666666666666,1,2,0.6666666666666666,0,0,0.0,0,0,0.0,0,10,10,3.3333333333333335,1
9c2388963,7,0,0,1,1,0,1,0,1,0,1,0,1,0,16.0,16.0,0.25,256,256,0,0.0625,256.0,0,0,2,2,2,6,1,2,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.0,16,16,16,16.0,4
9d5fdd09f,6,0,0,1,1,0,1,0,1,0,1,0,1,0,14.0,15.0,1.0,196,196,0,1.0,225.0,0,0,2,2,2,6,1,4,1,0,0.0,0,0,0.0,0,0,0.0,1,2,0.6666666666666666,14,17,45,15.0,4
1ea163834,8,1,2,1,1,0,1,0,1,0,1,0,1,2,0.0,16.0,1.0,289,0,4,1.0,256.0,0,0,2,2,2,6,1,3,1,2,0.5,1,2,0.5,0,0,0.0,1,1,0.25,0,17,32,8.0,4
9106fd2ee,7,1,1,1,1,0,1,0,1,0,1,0,1,1,21.0,19.0,0.75,441,441,1,0.5625,361.0,0,0,2,2,2,6,1,3,1,1,0.3333333333333333,1,1,0.3333333333333333,0,0,0.0,1,1,0.3333333333333333,0,21,38,12.666666666666666,4
d4b71e99f,7,0,0,1,1,0,1,0,1,0,1,0,1,0,14.0,10.0,0.5,196,196,0,0.25,100.0,0,0,2,2,2,6,1,4,1,0,0.0,0,0,0.0,0,0,0.0,1,1,0.5,6,14,20,10.0,4
e45f99999,5,0,0,1,0,1,0,0,0,0,0,0,0,0,4.0,5.0,0.66666669,16,16,0,0.44444448,25.0,0,1,1,1,1,3,2,0,0,0,0.0,0,0,0.0,1,1,0.5,0,0,0.0,4,6,10,5.0,2
aa3814397,5,0,0,1,1,0,1,0,1,0,1,0,1,0,16.0,14.333332999999998,1.0,256,256,0,1.0,205.44444,0,0,2,2,2,6,1,3,1,0,0.0,0,0,0.0,0,0,0.0,1,3,1.0,12,16,43,14.333333333333334,4
5ae10ba01,7,0,0,1,1,0,1,0,1,0,1,0,1,0,0.0,12.25,1.0,81,0,0,1.0,150.0625,0,0,2,2,2,6,1,5,1,0,0.0,0,0,0.0,0,0,0.0,1,2,0.5,9,15,49,12.25,4
4ea540ed6,6,0,0,1,1,0,1,0,1,0,0,0,1,0,0.0,14.0,0.66666669,225,0,0,0.44444448,196.0,0,0,2,1,2,5,1,3,0,0,0.0,0,0,0.0,0,0,0.0,1,2,1.0,13,15,28,14.0,4
6900c4bc1,6,0,0,1,1,0,1,0,0,1,0,0,1,0,0.0,5.6666665,1.0,121,0,0,1.0,32.111111,0,0,1,0,2,3,1,3,1,0,0.0,0,0,0.0,0,0,0.0,1,1,0.3333333333333333,0,11,17,5.666666666666667,4
76370c62a,6,0,0,1,1,0,1,0,1,0,1,0,1,0,0.0,14.0,1.0,196,0,0,1.0,196.0,0,0,2,2,2,6,1,3,1,0,0.0,0,0,0.0,0,0,0.0,1,1,1.0,14,14,14,14.0,4
72442f7fc,6,0,0,1,1,0,1,0,1,0,1,0,1,0,0.0,14.0,1.0,196,0,0,1.0,196.0,0,0,2,2,2,6,1,3,1,0,0.0,0,0,0.0,0,0,0.0,1,1,1.0,14,14,14,14.0,4
15e096859,6,0,0,1,1,0,1,0,1,0,1,0,1,0,14.0,14.0,1.0,196,196,0,1.0,196.0,0,0,2,2,2,6,1,3,1,0,0.0,0,0,0.0,0,0,0.0,1,1,1.0,14,14,14,14.0,4
cad4908f4,4,0,0,1,1,0,1,0,1,0,1,0,1,0,0.0,17.0,1.0,289,0,0,1.0,289.0,0,0,2,2,2,6,1,3,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,17,17,17,17.0,4
d411f898f,8,0,0,1,1,0,1,0,1,0,1,0,1,0,0.0,15.0,0.33333334,225,0,0,0.11111112,225.0,0,0,2,2,2,6,1,4,1,0,0.0,0,0,0.0,0,0,0.0,1,1,1.0,15,15,15,15.0,4
1f9cdfd87,7,0,0,1,1,0,1,0,0,0,1,0,1,0,0.0,9.666667,0.75,81,0,0,0.5625,93.44445,0,0,1,2,2,5,1,2,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.3333333333333333,6,14,29,9.666666666666666,4
6f832e4df,6,0,0,1,1,0,1,0,1,0,1,0,0,0,0.0,8.0,0.5,64,0,0,0.25,64.0,0,0,2,2,1,5,1,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,8,8,8,8.0,1
3ab475993,8,0,0,1,1,0,1,0,1,0,1,0,1,0,0.0,13.0,0.5,169,0,0,0.25,169.0,0,0,2,2,2,6,1,5,1,0,0.0,0,0,0.0,0,0,0.0,1,2,1.0,13,13,26,13.0,4
f39a29177,4,0,2,0,0,1,0,1,0,1,0,0,0,3,0.0,5.0,2.5,16,0,9,6.25,25.0,2,1,0,0,1,1,2,2,0,1,0.2,1,1,0.2,1,2,0.4,0,0,0.0,0,6,18,3.6,4
ece1115ac,3,0,0,1,1,0,0,1,0,1,0,1,0,0,0.0,4.5,2.0,9,0,0,4.0,20.25,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0.0,1,1,0.5,0,0,0.0,3,6,9,4.5,4
fabb02be9,4,0,0,1,1,0,0,0,1,0,1,0,1,0,6.0,2.0,1.5,36,36,0,2.25,4.0,0,0,2,2,2,6,2,1,0,0,0.0,1,2,0.6666666666666666,0,0,0.0,0,0,0.0,0,6,6,2.0,4
f9480a013,4,0,0,1,1,0,1,0,1,0,1,0,0,0,0.0,7.0,0.5,49,0,0,0.25,49.0,0,0,2,2,1,5,1,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,7,7,7,7.0,3
0f87a987f,5,1,1,1,1,0,0,0,0,0,0,0,0,2,0.0,7.5,2.0,36,0,4,4.0,56.25,0,0,1,1,1,3,2,3,0,1,0.25,1,1,0.25,0,0,0.0,0,0,0.0,0,9,21,5.25,4
bbd43bd99,6,0,0,1,1,0,1,0,1,0,1,0,1,1,8.0,8.0,1.0,64,64,1,1.0,64.0,0,0,2,2,2,6,1,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,7,8,23,7.666666666666667,4
970027381,6,1,2,1,1,0,1,0,1,0,1,0,1,3,11.0,13.0,2.0,121,121,9,4.0,169.0,0,0,2,2,2,6,1,4,1,1,0.16666666666666666,0,0,0.0,1,2,0.3333333333333333,0,0,0.0,1,11,43,7.166666666666667,4
8ec412b0a,4,1,1,0,1,0,1,0,1,0,1,0,1,1,9.0,9.333333,2.0,81,81,1,4.0,87.11110699999999,2,0,2,2,2,6,1,2,0,1,0.25,1,1,0.25,0,0,0.0,0,0,0.0,0,10,28,7.0,4
159ea258f,7,0,0,1,1,0,1,0,0,0,1,0,1,0,11.0,11.5,1.0,121,121,0,1.0,132.25,0,0,1,2,2,5,1,5,1,0,0.0,0,0,0.0,0,0,0.0,1,1,0.25,11,13,46,11.5,4
bdd842cfd,10,1,1,1,1,0,1,0,1,0,1,0,1,2,0.0,17.0,1.0,289,0,4,1.0,289.0,0,0,2,2,2,6,1,5,1,0,0.0,0,0,0.0,1,1,0.16666666666666666,1,2,0.3333333333333333,5,17,73,12.166666666666666,4
0473832dd,5,1,1,0,1,0,0,0,1,0,1,0,1,2,9.0,10.5,1.3333334,81,81,4,1.7777778999999998,110.25,5,0,2,2,2,6,2,3,1,0,0.0,0,0,0.0,1,2,0.5,0,0,0.0,3,9,24,6.0,4
4b6077882,3,2,2,0,0,1,0,0,0,0,0,0,0,2,0.0,5.0,3.0,25,0,4,9.0,25.0,2,1,1,1,1,3,2,1,0,2,0.6666666666666666,1,1,0.3333333333333333,1,2,0.6666666666666666,0,0,0.0,0,5,6,2.0,1
6833ac5dc,3,1,1,0,0,1,0,0,0,0,0,0,0,4,0.0,13.5,3.0,49,0,16,9.0,182.25,5,1,1,1,1,3,2,3,0,1,0.16666666666666666,1,1,0.16666666666666666,0,0,0.0,0,0,0.0,0,9,36,6.0,2
35c040720,7,0,0,1,1,0,1,0,1,0,1,0,1,1,10.0,11.4,2.0,100,100,1,4.0,129.95999,0,0,2,2,2,6,1,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,21,64,10.666666666666666,4
b9207c3a3,4,0,0,1,1,0,1,0,1,0,1,0,1,1,11.0,11.75,2.5,121,121,1,6.25,138.0625,0,0,2,2,2,6,1,2,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.2,10,14,57,11.4,4
b7e6198b0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,9.333333,1.3333334,36,0,0,1.7777778999999998,87.11110699999999,2,0,1,1,1,3,2,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,11,28,9.333333333333334,4
252a57c2d,5,0,1,1,1,0,1,0,1,0,1,0,1,1,0.0,6.666666499999999,1.3333334,121,0,1,1.7777778999999998,44.444443,0,0,2,2,2,6,1,3,1,1,0.25,1,1,0.25,1,1,0.25,0,0,0.0,0,11,20,5.0,4
cd8ba4e90,4,0,0,0,1,0,0,1,0,1,0,1,0,0,6.0,8.0,1.5,36,36,0,2.25,64.0,1,0,0,0,0,0,2,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,9,24,8.0,4
575416e27,4,0,1,1,1,0,1,0,1,0,1,0,1,3,0.0,16.0,2.0,49,0,9,4.0,256.0,0,0,2,2,2,6,1,2,0,0,0.0,0,0,0.0,1,1,0.25,0,0,0.0,2,9,24,6.0,2
ef0e2156b,5,0,0,0,0,1,0,1,0,1,0,1,0,1,0.0,7.0,0.66666669,49,0,1,0.44444448,49.0,5,1,0,0,0,0,2,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,7,13,6.5,4
43b9c83e5,6,2,2,1,1,0,1,0,0,0,0,0,0,4,0.0,6.0,2.0,36,0,16,4.0,36.0,0,0,1,1,1,3,1,2,0,2,0.3333333333333333,1,2,0.3333333333333333,0,0,0.0,0,0,0.0,0,7,25,4.166666666666667,2
c60226aa6,6,0,0,1,0,1,0,0,1,0,1,0,1,2,0.0,11.0,0.75,25,0,4,0.5625,121.0,0,1,2,2,2,6,2,3,0,0,0.0,0,0,0.0,1,2,0.6666666666666666,0,0,0.0,5,6,16,5.333333333333333,4
ad99429f5,5,0,0,1,1,0,1,0,1,0,1,0,1,0,0.0,7.0,1.0,9,0,0,1.0,49.0,0,0,2,2,2,6,1,2,0,0,0.0,0,0,0.0,1,1,0.3333333333333333,0,0,0.0,3,11,21,7.0,4
67470962b,6,1,1,1,1,0,1,0,1,0,1,0,1,2,6.0,6.0,1.3333334,36,36,4,1.7777778999999998,36.0,0,0,2,2,2,6,1,4,1,0,0.0,0,0,0.0,1,1,0.25,0,0,0.0,2,7,21,5.25,4
2e50f3926,6,0,0,1,1,0,1,0,1,0,1,0,1,0,0.0,14.0,0.40000001,289,0,0,0.16000001,196.0,0,0,2,2,2,6,1,4,1,0,0.0,0,0,0.0,0,0,0.0,1,1,0.5,11,17,28,14.0,4
